App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/ohbili/entry/src/main/ets/network/TaskManager.ts,14,import taskPool from '@ohos.taskpool';,99,"var task = new taskPool.Task(requestPageListTask, bvid);",The Task class provides an interface to create a task.
input/app/ohbili/entry/src/main/ets/network/TaskManager.ts,14,import taskPool from '@ohos.taskpool';,100,var response = await taskPool.execute(task) as ApiResponse<VideoPartsResponse>;,Execute a concurrent function.
input/app/ohbili/entry/src/main/ets/network/TaskManager.ts,14,import taskPool from '@ohos.taskpool';,105,var task = new taskPool.Task(requestSearchDefaultTask);,The Task class provides an interface to create a task.
input/app/ohbili/entry/src/main/ets/network/TaskManager.ts,14,import taskPool from '@ohos.taskpool';,106,var response = await taskPool.execute(task) as ApiResponse<SearchDefaultResponse>;,Execute a concurrent function.
input/app/ohbili/entry/src/main/ets/network/TaskManager.ts,14,import taskPool from '@ohos.taskpool';,111,"var task = new taskPool.Task(requestArchiveStatTask, bvid);",The Task class provides an interface to create a task.
input/app/ohbili/entry/src/main/ets/network/TaskManager.ts,14,import taskPool from '@ohos.taskpool';,112,var response = await taskPool.execute(task) as ApiResponse<ArchiveStatResponse>;,Execute a concurrent function.
input/app/ohbili/entry/src/main/ets/network/TaskManager.ts,14,import taskPool from '@ohos.taskpool';,117,"var task = new taskPool.Task(requestArchiveDescTask, bvid);",The Task class provides an interface to create a task.
input/app/ohbili/entry/src/main/ets/network/TaskManager.ts,14,import taskPool from '@ohos.taskpool';,118,var response = await taskPool.execute(task) as ApiResponse<StringResponse>;,Execute a concurrent function.
input/app/ohbili/entry/src/main/ets/network/TaskManager.ts,14,import taskPool from '@ohos.taskpool';,123,"var task = new taskPool.Task(requestUserCardInfoTask, mid, photo);",The Task class provides an interface to create a task.
input/app/ohbili/entry/src/main/ets/network/TaskManager.ts,14,import taskPool from '@ohos.taskpool';,124,var response = await taskPool.execute(task) as ApiResponse<CardInfoResponse>;,Execute a concurrent function.
input/app/ohbili/entry/src/main/ets/entryability/EntryAbility.ets,3,import hilog from '@ohos.hilog';,16,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onCreate');",Outputs info-level logs.
input/app/ohbili/entry/src/main/ets/entryability/EntryAbility.ets,3,import hilog from '@ohos.hilog';,38,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onDestroy');",Outputs info-level logs.
input/app/ohbili/entry/src/main/ets/entryability/EntryAbility.ets,3,import hilog from '@ohos.hilog';,44,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageCreate');",Outputs info-level logs.
input/app/ohbili/entry/src/main/ets/entryability/EntryAbility.ets,3,import hilog from '@ohos.hilog';,58,"hilog.error(0x0000, 'testTag', 'Failed to load the content. Cause: %{public}s', JSON.stringify(err) ?? '');",Outputs error-level logs.
input/app/ohbili/entry/src/main/ets/entryability/EntryAbility.ets,3,import hilog from '@ohos.hilog';,61,"hilog.info(0x0000, 'testTag', 'Succeeded in loading the content. Data: %{public}s', JSON.stringify(data) ?? '');",Outputs info-level logs.
input/app/ohbili/entry/src/main/ets/entryability/EntryAbility.ets,3,import hilog from '@ohos.hilog';,67,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageDestroy');",Outputs info-level logs.
input/app/ohbili/entry/src/main/ets/entryability/EntryAbility.ets,3,import hilog from '@ohos.hilog';,72,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onForeground');",Outputs info-level logs.
input/app/ohbili/entry/src/main/ets/entryability/EntryAbility.ets,3,import hilog from '@ohos.hilog';,77,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onBackground');",Outputs info-level logs.
input/app/ohbili/entry/src/main/ets/entryability/EntryAbility.ets,9,import connection from '@ohos.net.connection';,89,"this.netConn = connection.createNetConnection(netSpec, timeout);",Create a network connection with optional netSpecifier and timeout.
input/app/ohbili/entry/src/main/ets/entryability/EntryAbility.ets,10,import bundleManager from '@ohos.bundle.bundleManager';,107,bundleManager.getBundleInfoForSelf(0).then(info => {,Obtains own bundleInfo.
